,PM25_m24,PM25_m25,PM25_m26,PM25_m27,PM25_m28,PM25_m29,PM25_m30,PM25_m31,PM25_m32,PM25_m33,PM25_m34,PM25_m35,PM25_m36,PM25_m37,PM25_m38,PM25_m39,PM25_m40,PM25_m41,PM25_m42,PM25_m43,PM25_m44,PM25_m45,PM25_m46,PM25_m47
0,14.88888889,17.0,15.55555556,14.77777778,16.55555556,11.77777778,14.88888889,13.44444444,14.0,16.22222222,16.55555556,19.44444444,20.25,16.88888889,18.44444444,16.33333333,20.33333333,27.33333333,35.11111111,29.55555556,28.44444444,24.66666667,26.66666667,30.77777778
1,17.0,15.55555556,14.77777778,16.55555556,11.77777778,14.88888889,13.44444444,14.0,16.22222222,16.55555556,19.44444444,20.25,16.88888889,18.44444444,16.33333333,20.33333333,27.33333333,35.11111111,29.55555556,28.44444444,24.66666667,26.66666667,30.77777778,36.375
2,15.55555556,14.77777778,16.55555556,11.77777778,14.88888889,13.44444444,14.0,16.22222222,16.55555556,19.44444444,20.25,16.88888889,18.44444444,16.33333333,20.33333333,27.33333333,35.11111111,29.55555556,28.44444444,24.66666667,26.66666667,30.77777778,36.375,47.66666667
3,14.77777778,16.55555556,11.77777778,14.88888889,13.44444444,14.0,16.22222222,16.55555556,19.44444444,20.25,16.88888889,18.44444444,16.33333333,20.33333333,27.33333333,35.11111111,29.55555556,28.44444444,24.66666667,26.66666667,30.77777778,36.375,47.66666667,51.55555556
4,16.55555556,11.77777778,14.88888889,13.44444444,14.0,16.22222222,16.55555556,19.44444444,20.25,16.88888889,18.44444444,16.33333333,20.33333333,27.33333333,35.11111111,29.55555556,28.44444444,24.66666667,26.66666667,30.77777778,36.375,47.66666667,51.55555556,53.66666667
5,11.77777778,14.88888889,13.44444444,14.0,16.22222222,16.55555556,19.44444444,20.25,16.88888889,18.44444444,16.33333333,20.33333333,27.33333333,35.11111111,29.55555556,28.44444444,24.66666667,26.66666667,30.77777778,36.375,47.66666667,51.55555556,53.66666667,59.44444444
6,14.88888889,13.44444444,14.0,16.22222222,16.55555556,19.44444444,20.25,16.88888889,18.44444444,16.33333333,20.33333333,27.33333333,35.11111111,29.55555556,28.44444444,24.66666667,26.66666667,30.77777778,36.375,47.66666667,51.55555556,53.66666667,59.44444444,57.33333333
7,13.44444444,14.0,16.22222222,16.55555556,19.44444444,20.25,16.88888889,18.44444444,16.33333333,20.33333333,27.33333333,35.11111111,29.55555556,28.44444444,24.66666667,26.66666667,30.77777778,36.375,47.66666667,51.55555556,53.66666667,59.44444444,57.33333333,58.55555556
8,14.0,16.22222222,16.55555556,19.44444444,20.25,16.88888889,18.44444444,16.33333333,20.33333333,27.33333333,35.11111111,29.55555556,28.44444444,24.66666667,26.66666667,30.77777778,36.375,47.66666667,51.55555556,53.66666667,59.44444444,57.33333333,58.55555556,63.44444444
9,16.22222222,16.55555556,19.44444444,20.25,16.88888889,18.44444444,16.33333333,20.33333333,27.33333333,35.11111111,29.55555556,28.44444444,24.66666667,26.66666667,30.77777778,36.375,47.66666667,51.55555556,53.66666667,59.44444444,57.33333333,58.55555556,63.44444444,70.55555556
